protein.Accession,protein.Description,protein.seqCover(%)_KOGSK_Rep1,protein.fmolOnColumn_KOGSK_Rep1,protein.ngramOnColumn_KOGSK_Rep1,protein.seqCover(%)_KOGSK_Rep2,protein.fmolOnColumn_KOGSK_Rep2,protein.ngramOnColumn_KOGSK_Rep2,protein.seqCover(%)_KOGSK_Rep3,protein.fmolOnColumn_KOGSK_Rep3,protein.ngramOnColumn_KOGSK_Rep3,protein.seqCover(%)_WT_Rep1,protein.fmolOnColumn_WT_Rep1,protein.ngramOnColumn_WT_Rep1,protein.seqCover(%)_WT_Rep2,protein.fmolOnColumn_WT_Rep2,protein.ngramOnColumn_WT_Rep2,protein.seqCover(%)_WT_Rep3,protein.fmolOnColumn_WT_Rep3,protein.ngramOnColumn_WT_Rep3
CARM1_HUMAN,Histone-arginine methyltransferase CARM1 OS=Homo sapiens GN=CARM1 PE=1 SV=3,16.28,187.7018,12.4679,21.55,70.8039,4.7031,14.47,53.4918,3.5531,35.53,73.127,4.8574,12.99,62.8951,4.1777,15.3,122.4759,8.1354
CYBP_HUMAN,Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2,63.16,733.4323,19.3069,62.28,39.7472,1.0463,58.77,197.7161,5.2047,52.63,111.8638,2.9447,58.77,273.4342,7.1979,63.6,396.9036,10.4481
PGAM5_HUMAN,Serine/threonine-protein phosphatase PGAM5_ mitochondrial OS=Homo sapiens GN=PGAM5 PE=1 SV=2,44.98,161.377,5.2016,27.34,8.5324,0.275,46.37,32.1615,1.0366,30.8,67.3552,2.171,54.67,66.4274,2.1411,47.75,147.1211,4.7421
WDR36_HUMAN,WD repeat-containing protein 36 OS=Homo sapiens GN=WDR36 PE=1 SV=1,40.9,196.9033,20.9404,33.65,150.989,16.0575,24.19,50.6905,5.3909,28.08,43.3823,4.6137,32.49,40.1572,4.2707,36.7,79.6743,8.4733
LPPRC_HUMAN,Leucine-rich PPR motif-containing protein_ mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3,59.4,871.8248,138.7099,51.94,1008.794,160.5021,55.81,264.6177,42.1015,35.58,256.2634,40.7723,49.57,430.6596,68.5192,50.57,985.4548,156.7887
DDX50_HUMAN,ATP-dependent RNA helicase DDX50 OS=Homo sapiens GN=DDX50 PE=1 SV=1,33.24,84.1827,6.9986,24.29,17.6661,1.4687,25.78,7.1999,0.5986,22.66,43.1557,3.5878,20.49,60.4822,5.0282,28.36,22.2842,1.8526
NQO1_HUMAN,NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens GN=NQO1 PE=1 SV=1,36.5,222.7058,6.8871,23.72,160.123,4.9518,36.5,100.3679,3.1039,47.08,106.1089,3.2814,25.91,239.5439,7.4078,31.75,218.3984,6.7539
STRAP_HUMAN,Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=1 SV=1,51.14,670.2554,25.9929,23.14,75.0249,2.9095,38.57,168.0499,6.5171,47.14,142.2596,5.5169,48.29,226.9267,8.8003,50.86,415.8731,16.1278
H2B1N_HUMAN,Histone H2B type 1-N OS=Homo sapiens GN=HIST1H2BN PE=1 SV=3,66.67,NaN,NaN,54.76,NaN,NaN,56.35,1025.608,14.2787,56.35,NaN,NaN,58.73,NaN,NaN,57.94,0.3144,0.0044
DX39A_HUMAN,ATP-dependent RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2,48.48,141.5791,7.0284,49.65,11.6794,0.5798,53.4,9.6473,0.4789,43.56,22.2912,1.1066,60.42,79.3486,3.9391,55.97,94.1013,4.6715
MIC60_HUMAN,MICOS complex subunit MIC60 OS=Homo sapiens GN=IMMT PE=1 SV=1,54.49,377.0861,31.7043,37.2,221.0092,18.5818,57.92,185.9656,15.6355,46.31,70.61,5.9367,57.39,257.158,21.6211,55.41,322.3638,27.1034
DDX3Y_HUMAN,ATP-dependent RNA helicase DDX3Y OS=Homo sapiens GN=DDX3Y PE=1 SV=2,41.06,17.5168,1.2894,29.09,0.0779,0.0057,33.03,10.6772,0.7859,38.03,30.6719,2.2578,36.82,13.3653,0.9838,36.52,18.7617,1.381
KI67_HUMAN,Antigen KI-67 OS=Homo sapiens GN=MKI67 PE=1 SV=2,43.34,228.6805,82.5349,17.51,61.7396,22.2829,42.05,101.0623,36.4752,39.37,83.4149,30.1059,39.99,188.8179,68.1478,44.16,282.4002,101.9234
EBP2_HUMAN,Probable rRNA-processing protein EBP2 OS=Homo sapiens GN=EBNA1BP2 PE=1 SV=2,51.31,61.4709,2.1459,28.1,10.3008,0.3596,50.65,23.5753,0.823,31.05,47.9646,1.6744,39.54,52.5292,1.8337,40.2,71.1583,2.4841
PROF1_HUMAN,Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2,68.57,1591.951,24.238,52.14,190.8686,2.906,69.29,221.4967,3.3724,65.71,513.4906,7.8181,49.29,751.6378,11.4439,75,942.6944,14.3529
TBB3_HUMAN,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2,64,334.445,17.0196,54.89,194.3533,9.8905,54.44,15.2828,0.7777,48.44,68.6175,3.4919,42,82.7688,4.212,57.11,155.3473,7.9055
POTEJ_HUMAN,POTE ankyrin domain family member J OS=Homo sapiens GN=POTEJ PE=3 SV=1,38.44,NaN,NaN,28.9,35.1164,4.1724,27.26,NaN,NaN,28.03,NaN,NaN,17.15,0.2283,0.0271,29.48,NaN,NaN
RT34_HUMAN,28S ribosomal protein S34_ mitochondrial OS=Homo sapiens GN=MRPS34 PE=1 SV=2,51.83,218.0527,5.6056,37.61,30.9936,0.7968,30.73,63.6523,1.6363,57.8,36.6935,0.9433,41.28,46.7692,1.2023,38.99,116.3451,2.9909
PCBP2_HUMAN,Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1,49.59,555.7263,21.6619,18.9,18.4176,0.7179,60.55,157.3022,6.1315,52.88,150.9262,5.883,60,206.8543,8.063,48.49,422.331,16.4622
STT3A_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens GN=STT3A PE=1 SV=2,32.06,355.7995,28.8757,22.41,6.6079,0.5363,24.54,102.581,8.3252,13.19,79.012,6.4124,20.57,148.7391,12.0712,36.6,214.2962,17.3917
SGPL1_HUMAN,Sphingosine-1-phosphate lyase 1 OS=Homo sapiens GN=SGPL1 PE=1 SV=3,34.15,107.0702,6.8626,23.94,69.9248,4.4818,20.42,24.301,1.5576,23.59,32.8305,2.1042,17.43,27.7139,1.7763,25.53,37.2172,2.3854
RADI_HUMAN,Radixin OS=Homo sapiens GN=RDX PE=1 SV=1,51.29,105.6306,7.2545,43.91,73.4871,5.0469,49.06,37.3603,2.5658,56.6,66.3837,4.5591,47.68,110.788,7.6087,56.95,152.4022,10.4667
TRAP1_HUMAN,Heat shock protein 75 kDa_ mitochondrial OS=Homo sapiens GN=TRAP1 PE=1 SV=3,56.39,654.7014,52.6349,48.58,103.2527,8.301,61.08,234.2511,18.8327,49.29,170.5889,13.7145,59.52,403.7756,32.4617,58.66,298.8857,24.029
DNJA1_HUMAN,DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2,29.72,177.1104,8.0779,15.62,16.112,0.7349,52.39,66.3753,3.0274,32.24,75.1383,3.427,30.73,157.5706,7.1867,39.55,223.6582,10.201
RCD1_HUMAN,Cell differentiation protein RCD1 homolog OS=Homo sapiens GN=RQCD1 PE=1 SV=1,30.1,78.7328,2.6748,24.41,37.3451,1.2687,32.44,11.3045,0.3841,20.4,17.1985,0.5843,27.09,24.8651,0.8448,30.77,75.377,2.5608
MAP4_HUMAN,Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3,53.13,540.855,65.7239,48.96,271.2938,32.9672,43.58,124.6102,15.1424,30.21,86.9853,10.5703,41.93,185.3835,22.5275,41.75,249.7001,30.3432
PSPC1_HUMAN,Paraspeckle component 1 OS=Homo sapiens GN=PSPC1 PE=1 SV=1,50.29,301.1531,17.7252,19.69,11.6386,0.685,50.86,128.9864,7.5919,49.71,54.891,3.2308,34.42,51.8144,3.0497,66.73,162.8728,9.5863
QCR1_HUMAN,Cytochrome b-c1 complex subunit 1_ mitochondrial OS=Homo sapiens GN=UQCRC1 PE=1 SV=3,30.83,304.2753,16.2271,40,84.1569,4.4881,45.21,119.091,6.3512,19.38,69.2304,3.6921,14.58,87.7292,4.6786,27.71,174.1295,9.2864
IF2B_HUMAN,Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens GN=EIF2S2 PE=1 SV=2,45.35,149.047,5.7727,22.52,55.6732,2.1563,40.54,27.916,1.0812,26.13,85.9087,3.3273,26.13,160.2463,6.2064,24.62,165.2388,6.3998
RBMX_HUMAN,RNA-binding motif protein_ X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3,79.03,755.2469,31.971,40.66,8.7053,0.3685,72.63,91.6063,3.8779,76.73,271.8011,11.5059,73.66,433.1869,18.3376,79.03,491.8905,20.8227
SEPT9_HUMAN,Septin-9 OS=Homo sapiens GN=SEPT9 PE=1 SV=2,56.48,279.5929,18.3655,22.87,18.1419,1.1917,56.83,85.7694,5.6339,54.78,109.9495,7.2222,60.75,195.2266,12.8238,60.58,340.3287,22.3551
ODPB_HUMAN,Pyruvate dehydrogenase E1 component subunit beta_ mitochondrial OS=Homo sapiens GN=PDHB PE=1 SV=3,54.6,269.5568,10.6679,40.11,16.3364,0.6465,53.2,235.2167,9.3089,42.06,58.9348,2.3324,41.78,71.4101,2.8261,44.01,141.3729,5.5949
DDTL_HUMAN,D-dopachrome decarboxylase-like protein OS=Homo sapiens GN=DDTL PE=2 SV=1,42.54,1.5377,0.0222,14.93,NaN,NaN,24.63,NaN,NaN,21.64,NaN,NaN,14.93,NaN,NaN,21.64,NaN,NaN
YBOX3_HUMAN,Y-box-binding protein 3 OS=Homo sapiens GN=YBX3 PE=1 SV=4,59.14,96.4851,3.8681,55.91,11.418,0.4577,59.68,28.3066,1.1348,63.71,42.1515,1.6899,52.69,36.1315,1.4485,61.02,99.5955,3.9928
IPO4_HUMAN,Importin-4 OS=Homo sapiens GN=IPO4 PE=1 SV=2,35.89,130.0222,15.6358,24.7,28.8098,3.4645,25.53,52.2706,6.2858,20.54,108.013,12.9891,23.13,43.1943,5.1943,20.35,38.3304,4.6094
LAP2B_HUMAN,Lamina-associated polypeptide 2_ isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2,61.67,282.2063,14.3156,26.43,1.8296,0.0928,65.2,128.6673,6.5269,35.02,150.7399,7.6466,46.48,201.7998,10.2368,63.66,277.1477,14.059
RAB7A_HUMAN,Ras-related protein Rab-7a OS=Homo sapiens GN=RAB7A PE=1 SV=1,61.35,717.6989,17.0632,43.96,11.1071,0.2641,63.77,120.6409,2.8682,37.68,178.9503,4.2545,56.52,294.4043,6.9994,54.11,269.4247,6.4056
RAB13_HUMAN,Ras-related protein Rab-13 OS=Homo sapiens GN=RAB13 PE=1 SV=1,39.41,121.8022,2.8017,43.35,31.7364,0.73,47.29,56.7669,1.3058,28.08,53.7973,1.2375,49.26,42.7645,0.9837,51.23,84.0112,1.9324
PURA2_HUMAN,Adenylosuccinate synthetase isozyme 2 OS=Homo sapiens GN=ADSS PE=1 SV=3,36.62,121.3606,6.1283,20.39,48.7402,2.4612,22.37,42.5114,2.1467,27.63,56.767,2.8665,32.02,98.053,4.9513,23.03,54.6564,2.76
RL23_HUMAN,60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1,45,1093.496,16.3801,52.14,86.4775,1.2954,38.57,373.9646,5.6018,54.29,511.4956,7.662,44.29,834.8792,12.5061,60,1282.074,19.2049
K1C19_HUMAN,Keratin_ type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4,80.25,1726.027,76.1283,57.75,155.901,6.8762,82.5,620.0709,27.3489,80.5,481.1816,21.223,78.25,985.2784,43.4568,83.5,1457.67,64.2921
RT29_HUMAN,28S ribosomal protein S29_ mitochondrial OS=Homo sapiens GN=DAP3 PE=1 SV=1,48.74,158.4318,7.2734,17.59,14.4282,0.6624,46.98,68.2821,3.1347,32.41,43.0106,1.9746,44.72,56.4259,2.5904,40.7,68.3008,3.1356
ISOC1_HUMAN,Isochorismatase domain-containing protein 1 OS=Homo sapiens GN=ISOC1 PE=1 SV=3,37.25,165.0626,5.3682,34.56,33.0068,1.0734,14.77,17.6574,0.5743,9.73,19.3568,0.6295,14.77,9.9083,0.3222,20.81,53.8004,1.7497
KTHY_HUMAN,Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4,63.68,140.2348,3.3643,42.45,21.4422,0.5144,55.19,49.303,1.1828,33.02,54.3934,1.3049,39.15,69.7666,1.6737,63.68,117.1042,2.8094
HNRPM_HUMAN,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3,63.7,838.0695,65.2027,52.33,264.8078,20.6023,60.27,225.0965,17.5128,76.16,406.7665,31.6469,62.88,498.9135,38.816,73.29,944.1642,73.457
IQGA1_HUMAN,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,51.48,829.6365,157.5311,33.98,167.3058,31.768,52.38,286.6046,54.4204,34.82,111.2379,21.1218,45.2,190.1918,36.1136,41.7,244.3167,46.3908
ANXA2_HUMAN,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,57.82,1901.264,73.8303,29.2,104.8439,4.0713,57.82,726.0468,28.194,49.85,572.1969,22.2197,59.88,895.1148,34.7593,61.06,1455.489,56.5199
PDLI7_HUMAN,PDZ and LIM domain protein 7 OS=Homo sapiens GN=PDLIM7 PE=1 SV=1,32.39,174.8204,8.9033,42.89,51.0449,2.5996,12.91,23.1059,1.1767,16.85,33.2495,1.6933,36.32,28.7979,1.4666,30.63,78.8094,4.0136
UBQL4_HUMAN,Ubiquilin-4 OS=Homo sapiens GN=UBQLN4 PE=1 SV=2,23.96,36.5643,2.3368,27.29,1.6684,0.1066,22.63,32.3739,2.069,32.28,90.1236,5.7598,14.64,42.1817,2.6958,38.77,105.608,6.7494
NP1L4_HUMAN,Nucleosome assembly protein 1-like 4 OS=Homo sapiens GN=NAP1L4 PE=1 SV=1,34.4,228.7333,9.8343,13.07,1.0699,0.046,32.8,24.8367,1.0678,17.6,102.5159,4.4076,32,43.3079,1.862,41.87,175.8848,7.5621
SNX1_HUMAN,Sorting nexin-1 OS=Homo sapiens GN=SNX1 PE=1 SV=3,45.59,106.1962,6.2851,22.8,6.5181,0.3858,29.5,51.166,3.0282,36.02,87.2131,5.1616,37.36,29.8442,1.7663,51.72,140.7186,8.3282
DDAH2_HUMAN,N(G)_N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens GN=DDAH2 PE=1 SV=1,46.67,90.1856,2.6992,19.3,31.1955,0.9337,16.49,9.6968,0.2902,17.89,8.739,0.2615,37.19,14.2279,0.4258,11.23,15.6308,0.4678
PGAM2_HUMAN,Phosphoglycerate mutase 2 OS=Homo sapiens GN=PGAM2 PE=1 SV=3,57.31,1.0617,0.0307,53.36,0.854,0.0247,19.76,NaN,NaN,30.83,2.4866,0.072,26.88,NaN,NaN,69.17,4.8006,0.1389
METK2_HUMAN,S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1,32.41,239.5942,10.5428,35.95,13.8425,0.6091,34.94,125.1926,5.5088,29.62,81.9864,3.6076,47.59,229.6032,10.1032,33.42,521.8002,22.9607
H2B1K_HUMAN,Histone H2B type 1-K OS=Homo sapiens GN=HIST1H2BK PE=1 SV=3,66.67,NaN,NaN,54.76,NaN,NaN,57.14,NaN,NaN,56.35,NaN,NaN,62.7,NaN,NaN,57.94,NaN,NaN
FPPS_HUMAN,Farnesyl pyrophosphate synthase OS=Homo sapiens GN=FDPS PE=1 SV=4,24.34,495.2882,24.1645,27.45,253.6046,12.3731,18.38,95.9296,4.6803,11.93,39.2817,1.9165,20.76,50.3687,2.4574,20.76,156.4202,7.6316
ATD3C_HUMAN,ATPase family AAA domain-containing protein 3C OS=Homo sapiens GN=ATAD3C PE=2 SV=2,37.96,32.3284,1.5086,26.76,11.3497,0.5296,53.53,4.365,0.2037,21.65,13.3447,0.6227,35.28,17.3856,0.8113,36.01,1.6891,0.0788
AIMP1_HUMAN,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2,50.32,197.4108,6.8379,44.87,121.9948,4.2256,41.67,52.8979,1.8323,46.15,56.3497,1.9518,71.79,64.9233,2.2488,45.83,85.0666,2.9465
KHDR1_HUMAN,KH domain-containing_ RNA-binding_ signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1,24.15,237.4061,11.4766,38.37,223.2356,10.7915,25.28,7.6439,0.3695,26.86,152.396,7.3671,23.25,89.0557,4.3051,27.99,151.7504,7.3358
CALR_HUMAN,Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1,52.04,1074.38,51.9062,27.34,84.1723,4.0666,53.96,308.8719,14.9224,46.28,295.9579,14.2985,57.79,319.959,15.4581,46.76,715.0888,34.5479
ANKH1_HUMAN,Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1,15.97,98.3804,26.7057,23.8,11.633,3.1578,14.16,28.5121,7.7397,16.76,35.0553,9.5159,12.59,11.1603,3.0295,10.58,89.6241,24.3288
SUCA_HUMAN,Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha_ mitochondrial OS=Homo sapiens GN=SUCLG1 PE=1 SV=4,16.18,92.2508,3.3809,35.84,12.6341,0.463,26.59,30.8778,1.1316,8.96,39.1164,1.4336,32.08,39.3441,1.4419,30.35,60.5489,2.2191
DIAP1_HUMAN,Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=2,29.09,132.0955,18.7618,14.15,227.3211,32.2869,27.91,75.5851,10.7355,24.21,70.0746,9.9528,19.81,105.5836,14.9963,29.87,163.2834,23.1915
H2A1B_HUMAN,Histone H2A type 1-B/E OS=Homo sapiens GN=HIST1H2AB PE=1 SV=2,35.38,NaN,NaN,30,NaN,NaN,44.62,NaN,NaN,40,310.6895,4.3918,38.46,NaN,NaN,35.38,NaN,NaN
ADHX_HUMAN,Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4,32.35,716.5396,29.077,4.55,161.2482,6.5434,33.96,182.4123,7.4022,21.66,86.5855,3.5136,21.12,176.4946,7.1621,23.53,165.8135,6.7287
PDC10_HUMAN,Programmed cell death protein 10 OS=Homo sapiens GN=PDCD10 PE=1 SV=1,37.74,114.6049,2.8309,45.28,15.4186,0.3809,67.92,49.5521,1.224,45.28,35.5641,0.8785,45.28,44.5619,1.1008,52.83,50.4246,1.2456
TR150_HUMAN,Thyroid hormone receptor-associated protein 3 OS=Homo sapiens GN=THRAP3 PE=1 SV=2,33.72,254.8508,27.7081,33.93,216.447,23.5327,36.86,99.4768,10.8154,27.85,52.2105,5.6765,35.39,100.6005,10.9376,43.25,162.4075,17.6574
H2B1M_HUMAN,Histone H2B type 1-M OS=Homo sapiens GN=HIST1H2BM PE=1 SV=3,65.08,1530.033,21.4041,54.76,NaN,NaN,52.38,NaN,NaN,51.59,NaN,NaN,63.49,1345.582,18.8237,53.17,NaN,NaN
NOMO2_HUMAN,Nodal modulator 2 OS=Homo sapiens GN=NOMO2 PE=1 SV=1,28.57,216.0234,30.3562,30.54,NaN,NaN,25.81,NaN,NaN,28.18,26.2419,3.6876,24.86,NaN,NaN,23.6,NaN,NaN
U520_HUMAN,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,41.57,598.0003,147.2049,32.49,112.8468,27.7786,41.01,156.6549,38.5625,21.02,88.9084,21.8859,35.44,167.3706,41.2003,31.32,243.3264,59.8977
RS13_HUMAN,40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2,61.59,908.2565,15.6423,52.98,65.7681,1.1327,64.24,437.3119,7.5315,48.34,233.1688,4.0157,70.2,341.3666,5.8791,56.95,490.7021,8.451
SERPH_HUMAN,Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=2,63.64,966.6893,45.0039,58.61,645.903,30.0698,52.63,106.1408,4.9414,44.26,76.8974,3.5799,67.22,207.4356,9.6571,55.98,283.7361,13.2092
DNM1L_HUMAN,Dynamin-1-like protein OS=Homo sapiens GN=DNM1L PE=1 SV=2,40.49,131.4694,10.8318,29.89,48.9374,4.032,25.82,189.6693,15.6269,24.73,18.1952,1.4991,26.63,38.8405,3.2001,30.43,92.6266,7.6316
MAT2B_HUMAN,Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens GN=MAT2B PE=1 SV=1,30.24,102.9341,3.9006,29.04,62.1915,2.3567,35.03,17.7567,0.6729,17.37,34.7358,1.3163,28.74,348.5364,13.2074,30.24,61.9388,2.3471
ECHA_HUMAN,Trifunctional enzyme subunit alpha_ mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2,35.65,280.7963,23.5142,60.16,173.0205,14.4889,32.11,104.237,8.7289,30.54,92.1949,7.7205,34.99,110.6726,9.2679,38.01,215.1331,18.0155
H4_HUMAN,Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,66.99,1174.604,13.3521,64.08,223.9175,2.5454,71.84,486.464,5.5298,66.02,771.3394,8.7681,66.99,1022.623,11.6245,66.99,1771.71,20.1397
ARPC5_HUMAN,Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3,58.94,138.2596,2.2643,39.74,3.8724,0.0634,32.45,42.9467,0.7034,39.74,42.879,0.7023,50.33,104.2169,1.7068,55.63,106.5498,1.745
AP2A2_HUMAN,AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2,27.16,89.8786,9.4258,17.78,3.4691,0.3638,17.15,16.1619,1.6949,16.93,13.897,1.4574,15.87,25.6192,2.6868,24.6,57.2242,6.0013
RRP1B_HUMAN,Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens GN=RRP1B PE=1 SV=3,29.29,89.8135,7.6186,32.98,60.7231,5.1509,32.98,46.3941,3.9355,19.66,38.2389,3.2437,32.32,36.9042,3.1305,25.86,64.3349,5.4573
QOR_HUMAN,Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1,47.11,227.953,8.0645,60.79,70.016,2.477,55.93,110.8629,3.9221,25.53,20.414,0.7222,31,107.0724,3.788,41.64,97.5874,3.4524
BCCIP_HUMAN,BRCA2 and CDKN1A-interacting protein OS=Homo sapiens GN=BCCIP PE=1 SV=1,59.24,243.9221,8.8597,20.7,47.9727,1.7425,32.17,58.0872,2.1098,48.41,115.4988,4.1951,30.89,86.7932,3.1525,42.68,282.148,10.2481
SRPRB_HUMAN,Signal recognition particle receptor subunit beta OS=Homo sapiens GN=SRPRB PE=1 SV=3,43.17,110.0188,3.2929,24.72,10.096,0.3022,32.84,12.1501,0.3637,33.58,38.8214,1.1619,43.91,61.2072,1.832,61.25,47.0509,1.4083
WDR5_HUMAN,WD repeat-containing protein 5 OS=Homo sapiens GN=WDR5 PE=1 SV=1,35.63,100.2615,3.7256,37.13,82.6679,3.0718,19.76,34.689,1.289,28.44,36.6154,1.3606,23.65,34.5056,1.2822,26.05,96.5651,3.5882
TWF2_HUMAN,Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=1 SV=2,46.42,161.6984,6.4317,42.12,7.4139,0.2949,40.97,35.8197,1.4248,41.83,55.7491,2.2175,46.13,76.8582,3.0571,24.36,96.736,3.8478
RL7A_HUMAN,60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2,52.63,819.9361,24.7348,49.25,75.6093,2.2809,39.47,236.0141,7.1198,43.23,365.5893,11.0286,40.23,440.6665,13.2935,44.74,786.6311,23.7301
PSME1_HUMAN,Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=1 SV=1,48.19,353.0819,10.202,61.85,191.3801,5.5298,48.59,81.1876,2.3459,42.57,109.7017,3.1697,48.59,155.1135,4.4819,47.39,154.256,4.4571
H32_HUMAN,Histone H3.2 OS=Homo sapiens GN=HIST2H3A PE=1 SV=3,33.82,NaN,NaN,35.29,NaN,NaN,41.18,NaN,NaN,28.68,NaN,NaN,31.62,NaN,NaN,38.97,NaN,NaN
PSB4_HUMAN,Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4,56.06,388.4045,11.3652,11.74,15.7786,0.4617,37.88,99.372,2.9078,34.09,50.1371,1.4671,52.27,138.2034,4.044,51.89,225.2186,6.5902
PRP4_HUMAN,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens GN=PRPF4 PE=1 SV=2,40.42,163.5177,9.6694,13.79,8.1747,0.4834,41.57,36.0917,2.1342,31.23,36.3918,2.152,33.33,78.718,4.6549,44.64,123.4204,7.2983
PUS7_HUMAN,Pseudouridylate synthase 7 homolog OS=Homo sapiens GN=PUS7 PE=1 SV=2,46.75,185.2788,13.9659,36.91,45.6716,3.4426,36.31,23.6916,1.7858,24.51,29.3364,2.2113,34.8,81.7997,6.1659,29.8,38.2892,2.8862
IF2P_HUMAN,Eukaryotic translation initiation factor 5B OS=Homo sapiens GN=EIF5B PE=1 SV=4,38.69,240.6598,33.5199,26.72,38.2159,5.3228,31.8,60.9286,8.4863,38.2,83.1092,11.5757,24.84,137.0517,19.089,34.1,129.9624,18.1016
GFPT1_HUMAN,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens GN=GFPT1 PE=1 SV=3,28.33,208.0405,16.561,31.62,128.8749,10.2591,27.61,40.4837,3.2227,25.61,68.2254,5.4311,20.6,33.9642,2.7037,21.75,52.6513,4.1913
COPG2_HUMAN,Coatomer subunit gamma-2 OS=Homo sapiens GN=COPG2 PE=1 SV=1,26.41,176.424,17.4242,19.63,15.4721,1.5281,17.22,26.1044,2.5782,15.27,22.2508,2.1976,20.9,205.7989,20.3253,16.42,44.4327,4.3883
DNJA3_HUMAN,DnaJ homolog subfamily A member 3_ mitochondrial OS=Homo sapiens GN=DNAJA3 PE=1 SV=2,26.25,151.1141,8.0266,27.08,60.3225,3.2041,36.88,35.9957,1.9119,21.88,24.0566,1.2778,5.63,6.3976,0.3398,17.71,86.9324,4.6175
KS6A1_HUMAN,Ribosomal protein S6 kinase alpha-1 OS=Homo sapiens GN=RPS6KA1 PE=1 SV=2,37.14,378.8452,31.4905,31.29,33.4869,2.7835,27.07,18.9627,1.5762,21.63,28.7049,2.386,17.41,36.0108,2.9933,38.78,47.4722,3.946
KLC2_HUMAN,Kinesin light chain 2 OS=Homo sapiens GN=KLC2 PE=1 SV=1,39.71,60.1847,4.1728,28.78,19.1575,1.3283,38.75,20.3069,1.408,37.46,98.6427,6.8393,27.65,29.8325,2.0684,37.14,40.6012,2.815
PAPOG_HUMAN,Poly(A) polymerase gamma OS=Homo sapiens GN=PAPOLG PE=1 SV=2,21.2,186.9705,15.5456,19.43,8.2636,0.6871,32.34,7.3685,0.6127,25.27,13.505,1.1229,30.98,40.483,3.366,19.29,39.5518,3.2885
CYFP1_HUMAN,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens GN=CYFIP1 PE=1 SV=1,34.4,170.2198,24.9945,29.45,181.1006,26.5922,16.92,63.7939,9.3673,20.99,46.5498,6.8352,24.1,51.4315,7.552,23.46,163.2275,23.9678
